Date,Version,VersionDownloads,TotalDownloads,IsLatestVersion
2026-04-11,2.0.0,4,4,true
2026-04-12,2.0.0,4,4,true
2026-04-13,2.0.0,11,11,true
2026-04-14,2.0.0,11,11,false
2026-04-14,2.1.0,0,11,true
2026-04-15,2.0.0,11,19,false
2026-04-15,2.1.0,5,19,false
2026-04-15,2.1.1,3,19,true
2026-04-16,2.0.0,11,21,false
2026-04-16,2.1.0,5,21,false
2026-04-16,2.1.1,5,21,true
2026-04-17,2.0.0,11,23,false
2026-04-17,2.1.0,5,23,false
2026-04-17,2.1.1,7,23,true
2026-04-18,2.0.0,11,26,false
2026-04-18,2.1.0,5,26,false
2026-04-18,2.1.1,10,26,true
2026-04-19,2.0.0,11,26,false
2026-04-19,2.1.0,5,26,false
2026-04-19,2.1.1,10,26,true
2026-04-20,2.0.0,11,27,false
2026-04-20,2.1.0,5,27,false
2026-04-20,2.1.1,11,27,true
2026-04-21,2.0.0,11,27,false
2026-04-21,2.1.0,5,27,false
2026-04-21,2.1.1,11,27,true
2026-04-22,2.0.0,11,30,false
2026-04-22,2.1.0,5,30,false
2026-04-22,2.1.1,14,30,true
2026-04-23,2.0.0,12,39,false
2026-04-23,2.1.0,6,39,false
2026-04-23,2.1.1,21,39,true
2026-04-24,2.0.0,12,40,false
2026-04-24,2.1.0,6,40,false
2026-04-24,2.1.1,22,40,true
2026-04-25,2.0.0,12,41,false
2026-04-25,2.1.0,6,41,false
2026-04-25,2.1.1,23,41,true
2026-04-26,2.0.0,12,41,false
2026-04-26,2.1.0,6,41,false
2026-04-26,2.1.1,23,41,true
2026-04-27,2.0.0,12,41,false
2026-04-27,2.1.0,6,41,false
2026-04-27,2.1.1,23,41,true
2026-04-28,2.0.0,12,42,false
2026-04-28,2.1.0,6,42,false
2026-04-28,2.1.1,24,42,true
2026-04-29,2.0.0,12,43,false
2026-04-29,2.1.0,6,43,false
2026-04-29,2.1.1,25,43,true
2026-04-30,2.0.0,12,43,false
2026-04-30,2.1.0,6,43,false
2026-04-30,2.1.1,25,43,true
2026-05-01,2.0.0,12,43,false
2026-05-01,2.1.0,6,43,false
2026-05-01,2.1.1,25,43,true
2026-05-02,2.0.0,12,48,false
2026-05-02,2.1.0,6,48,false
2026-05-02,2.1.1,26,48,false
2026-05-02,2.2.1,4,48,true
2026-05-03,2.0.0,12,49,false
2026-05-03,2.1.0,6,49,false
2026-05-03,2.1.1,27,49,false
2026-05-03,2.2.1,4,49,true
2026-05-04,2.0.0,12,52,false
2026-05-04,2.1.0,7,52,false
2026-05-04,2.1.1,28,52,false
2026-05-04,2.2.1,5,52,true
2026-05-05,2.0.0,12,58,false
2026-05-05,2.1.0,7,58,false
2026-05-05,2.1.1,28,58,false
2026-05-05,2.2.1,11,58,true
2026-05-06,2.0.0,12,59,false
2026-05-06,2.1.0,7,59,false
2026-05-06,2.1.1,28,59,false
2026-05-06,2.2.1,12,59,true
2026-05-07,2.0.0,12,62,false
2026-05-07,2.1.0,7,62,false
2026-05-07,2.1.1,28,62,false
2026-05-07,2.2.1,15,62,true
2026-05-08,2.0.0,12,65,false
2026-05-08,2.1.0,7,65,false
2026-05-08,2.1.1,28,65,false
2026-05-08,2.2.1,18,65,true
2026-05-09,2.0.0,12,68,false
2026-05-09,2.1.0,7,68,false
2026-05-09,2.1.1,28,68,false
2026-05-09,2.2.1,18,68,false
2026-05-09,2.2.2,3,68,true
2026-05-10,2.0.0,12,70,false
2026-05-10,2.1.0,7,70,false
2026-05-10,2.1.1,28,70,false
2026-05-10,2.2.1,19,70,false
2026-05-10,2.2.2,4,70,true
2026-05-11,2.0.0,12,70,false
2026-05-11,2.1.0,7,70,false
2026-05-11,2.1.1,28,70,false
2026-05-11,2.2.1,19,70,false
2026-05-11,2.2.2,4,70,true
2026-05-12,2.0.0,12,72,false
2026-05-12,2.1.0,7,72,false
2026-05-12,2.1.1,28,72,false
2026-05-12,2.2.1,19,72,false
2026-05-12,2.2.2,6,72,true
2026-05-13,2.0.0,12,74,false
2026-05-13,2.1.0,7,74,false
2026-05-13,2.1.1,28,74,false
2026-05-13,2.2.1,19,74,false
2026-05-13,2.2.2,8,74,true
2026-05-14,2.0.0,12,77,false
2026-05-14,2.1.0,7,77,false
2026-05-14,2.1.1,28,77,false
2026-05-14,2.2.1,19,77,false
2026-05-14,2.2.2,11,77,true
2026-05-15,2.0.0,12,81,false
2026-05-15,2.1.0,7,81,false
2026-05-15,2.1.1,28,81,false
2026-05-15,2.2.1,19,81,false
2026-05-15,2.2.2,15,81,true
2026-05-16,2.0.0,12,81,false
2026-05-16,2.1.0,7,81,false
2026-05-16,2.1.1,28,81,false
2026-05-16,2.2.1,19,81,false
2026-05-16,2.2.2,15,81,true
2026-05-17,2.0.0,12,81,false
2026-05-17,2.1.0,7,81,false
2026-05-17,2.1.1,28,81,false
2026-05-17,2.2.1,19,81,false
2026-05-17,2.2.2,15,81,true
2026-05-18,2.0.0,12,81,false
2026-05-18,2.1.0,7,81,false
2026-05-18,2.1.1,28,81,false
2026-05-18,2.2.1,19,81,false
2026-05-18,2.2.2,15,81,true
2026-05-19,2.0.0,12,81,false
2026-05-19,2.1.0,7,81,false
2026-05-19,2.1.1,28,81,false
2026-05-19,2.2.1,19,81,false
2026-05-19,2.2.2,15,81,true
2026-05-20,2.0.0,12,81,false
2026-05-20,2.1.0,7,81,false
2026-05-20,2.1.1,28,81,false
2026-05-20,2.2.1,19,81,false
2026-05-20,2.2.2,15,81,true
2026-05-21,2.0.0,12,81,false
2026-05-21,2.1.0,7,81,false
2026-05-21,2.1.1,28,81,false
2026-05-21,2.2.1,19,81,false
2026-05-21,2.2.2,15,81,false
2026-05-21,2.3.0,0,81,false
2026-05-21,2.3.1,0,81,true
2026-05-22,2.0.0,12,81,false
2026-05-22,2.1.0,7,81,false
2026-05-22,2.1.1,28,81,false
2026-05-22,2.2.1,19,81,false
2026-05-22,2.2.2,15,81,false
2026-05-22,2.3.0,0,81,false
2026-05-22,2.3.1,0,81,true
2026-05-23,2.0.0,12,81,false
2026-05-23,2.1.0,7,81,false
2026-05-23,2.1.1,28,81,false
2026-05-23,2.2.1,19,81,false
2026-05-23,2.2.2,15,81,false
2026-05-23,2.3.0,0,81,false
2026-05-23,2.3.1,0,81,true
2026-05-24,2.0.0,12,81,false
2026-05-24,2.1.0,7,81,false
2026-05-24,2.1.1,28,81,false
2026-05-24,2.2.1,19,81,false
2026-05-24,2.2.2,15,81,false
2026-05-24,2.3.0,0,81,false
2026-05-24,2.3.1,0,81,true
2026-05-25,2.0.0,12,81,false
2026-05-25,2.1.0,7,81,false
2026-05-25,2.1.1,28,81,false
2026-05-25,2.2.1,19,81,false
2026-05-25,2.2.2,15,81,false
2026-05-25,2.3.0,0,81,false
2026-05-25,2.3.1,0,81,true
2026-05-26,2.0.0,12,81,false
2026-05-26,2.1.0,7,81,false
2026-05-26,2.1.1,28,81,false
2026-05-26,2.2.1,19,81,false
2026-05-26,2.2.2,15,81,false
2026-05-26,2.3.0,0,81,false
2026-05-26,2.3.1,0,81,false
2026-05-26,3.0.0,0,81,true
2026-05-27,2.0.0,12,81,false
2026-05-27,2.1.0,7,81,false
